Year,Model,Total_Price(RM),Price_per_month(RM),Mileage(km),Transmission,Location,Highlight,URL,Brand
2018,myvi av 1.5,45900.0,551.0,68758.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/ct2d400,Perodua
2018,myvi av 1.5,45400.0,545.0,102171.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/c5ce400,Perodua
2018,outlander 2.0,66900.0,682.0,112134.0,A,"carsome pj automall, selangor 14,748.1 km
          away",family drive,https://www.carsome.my/buy-car/mitsubishi/outlander/2018-mitsubishi-outlander--2.0/cckx300,Mitsubishi
2021,alza ez 1.5,52400.0,574.0,100910.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2021-perodua-alza-ez-1.5/ca2g400,Perodua
2018,cx-5 skyactiv-g gl 2.0,76800.0,816.0,105625.0,A,"carsome pj automall, selangor 14,748.1 km
          away",compact suv,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gl-2.0/cc0e400,Mazda
2022,hr-v v 1.5,95400.0,973.0,45041.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2022-honda-hr-v-v-1.5/cf0h400,Honda
2023,cx-30 skyactiv-g high 2.0,115900.0,1156.0,36318.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",compact suv,https://www.carsome.my/buy-car/mazda/cx-30/2023-mazda-cx-30-skyactiv-g-high-2.0/csug400,Mazda
2016,axia g 1.0,24000.0,283.0,136356.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2016-perodua-axia-g-1.0/crwg400,Perodua
2016,myvi g 1.3,28900.0,338.0,136139.0,A,"carsome showroom chan sow lin, kuala lumpur 14,744.2 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2016-perodua-myvi-g-1.3/cr4i400,Perodua
2020,saga premium 1.3,31800.0,312.0,70952.0,A,"carsome showroom sitiawan, perak 14,662.1 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/cvfh400,Proton
