Year,Model,Total_Price(RM),Price_per_month(RM),Mileage(km),Transmission,Location,Highlight,URL,Brand
2016,asx 2.0,41900.0,569.0,133081.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",compact suv,https://www.carsome.my/buy-car/mitsubishi/asx/2016-mitsubishi-asx--2.0/ciav400,Mitsubishi
2019,axia gxtra 1.0,31000.0,333.0,92324.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-gxtra-1.0/cmpx400,Perodua
2020,myvi av 1.5,46600.0,502.0,97185.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cu1x400,Perodua
2018,myvi h 1.5,40400.0,464.0,86880.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-h-1.5/c8sw400,Perodua
2015,camry hybrid 2.5,53400.0,725.0,165521.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",executive,https://www.carsome.my/buy-car/toyota/camry/2015-toyota-camry-hybrid-2.5/czfx400,Toyota
2018,civic s i-vtec 1.8,71500.0,845.0,131336.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-s-i-vtec-1.8/c0yx400,Honda
2021,saga standard 1.3,29300.0,321.0,70357.0,A,"carsome showroom kuala terengganu, terengganu 14,461.7 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2021-proton-saga-standard-1.3/cu0w400,Proton
2019,axia g 1.0,29900.0,316.0,62091.0,A,"carsome pj automall, selangor 14,748.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-g-1.0/cpjy400,Perodua
2017,myvi advance 1.5,37800.0,482.0,101310.0,A,"carsome showroom temerloh, pahang 14,682.9 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-advance-1.5/c43y400,Perodua
2018,myvi av 1.5,43900.0,511.0,84787.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cnuw400,Perodua
2022,iriz active 1.6,44400.0,487.0,52357.0,A,"carsome pj automall, selangor 14,748.1 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/iriz/2022-proton-iriz-active-1.6/cla0500,Proton
2019,myvi av 1.5,44400.0,480.0,106698.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/crax400,Perodua
2016,civic tc vtec premium 1.5,74900.0,1000.0,114029.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2016-honda-civic-tc-vtec-premium-1.5/cfrx400,Honda
2020,saga anniversary edition 1.3,32000.0,351.0,36381.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-anniversary-edition-1.3/c59y400,Proton
2018,alza ez 1.5,42900.0,510.0,102341.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2018-perodua-alza-ez-1.5/cqxw400,Perodua
2021,saga standard 1.3,29300.0,321.0,31524.0,A,"carsome showroom kota bharu, kelantan 14,408.9 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2021-proton-saga-standard-1.3/ca8w400,Proton
2014,jazz e i-vtec 1.5,40600.0,551.0,95053.0,A,"carsome showroom setia spice, pulau pinang 14,555.5 km
          away",daily drive,https://www.carsome.my/buy-car/honda/jazz/2014-honda-jazz-e-i-vtec-1.5/csny400,Honda
2019,bezza x premium 1.3,34900.0,382.0,96890.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2019-perodua-bezza-x-premium-1.3/cfxx400,Perodua
2018,saga standard 1.3,24800.0,298.0,113596.0,A,"carsome showroom sitiawan, perak 14,662.1 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-standard-1.3/ck3y400,Proton
2017,vios gx 1.5,53900.0,691.0,80271.0,A,"carsome showroom sitiawan, perak 14,662.1 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2017-toyota-vios-gx-1.5/coow400,Toyota
2019,cr-v i-vtec 2.0,83000.0,910.0,104081.0,A,"carsome showroom chan sow lin, kuala lumpur 14,744.2 km
          away",compact suv,https://www.carsome.my/buy-car/honda/cr-v/2019-honda-cr-v-i-vtec-2.0/co7z400,Honda
2019,x70 tgdi executive 1.8,51900.0,552.0,112854.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x70/2019-proton-x70-tgdi-executive-1.8/cl6x400,Proton
2015,myvi x 1.3,25900.0,352.0,117229.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-x-1.3/ce3y400,Perodua
2017,jazz v i-vtec 1.5,51900.0,692.0,123097.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",daily drive,https://www.carsome.my/buy-car/honda/jazz/2017-honda-jazz-v-i-vtec-1.5/cx7y400,Honda
2019,c-hr 1.8,89000.0,975.0,109980.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",compact suv,https://www.carsome.my/buy-car/toyota/c-hr/2019-toyota-c-hr--1.8/cjcz400,Toyota
2020,bezza g 1.0,33000.0,362.0,109227.0,M,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2020-perodua-bezza-g-1.0/c9p1500,Perodua
2018,myvi av 1.5,43400.0,511.0,111021.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cqkz400,Perodua
2021,ativa av 1.0,58800.0,644.0,60729.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",compact suv,https://www.carsome.my/buy-car/perodua/ativa/2021-perodua-ativa-av-1.0/ctnx400,Perodua
2021,alza advance 1.5,56900.0,624.0,12857.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2021-perodua-alza-advance-1.5/c2s0500,Perodua
2015,jazz e i-vtec 1.5,42000.0,571.0,129311.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",daily drive,https://www.carsome.my/buy-car/honda/jazz/2015-honda-jazz-e-i-vtec-1.5/ci4x400,Honda
2018,myvi av 1.5,42600.0,511.0,133349.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/c70y400,Perodua
2023,myvi h 1.5,51800.0,568.0,4629.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2023-perodua-myvi-h-1.5/cuw1500,Perodua
2018,city e i-vtec 1.5,52400.0,610.0,96419.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",daily drive,https://www.carsome.my/buy-car/honda/city/2018-honda-city-e-i-vtec-1.5/ch7z400,Honda
2019,persona premium 1.6,32400.0,355.0,114678.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/persona/2019-proton-persona-premium-1.6/c90y400,Proton
2019,br-v v i-vtec 1.5,53000.0,574.0,91761.0,A,"carsome showroom chan sow lin, kuala lumpur 14,744.2 km
          away",family drive,https://www.carsome.my/buy-car/honda/br-v/2019-honda-br-v-v-i-vtec-1.5/cjkz400,Honda
2018,civic tc vtec 1.5,79600.0,955.0,128353.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-tc-vtec-1.5/cbwz400,Honda
2017,myvi se 1.5,34000.0,454.0,127100.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-se-1.5/c7wy400,Perodua
2018,myvi av 1.5,43400.0,511.0,119647.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/crnl400,Perodua
2015,cx-5 skyactiv-g gl 2.0,42400.0,576.0,107988.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",compact suv,https://www.carsome.my/buy-car/mazda/cx-5/2015-mazda-cx-5-skyactiv-g-gl-2.0/cibx400,Mazda
2021,x50 tgdi flagship 1.5,69400.0,761.0,78922.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x50/2021-proton-x50-tgdi-flagship-1.5/crhw400,Proton
2014,myvi ezi 1.3,25800.0,350.0,150035.0,A,"carsome showroom temerloh, pahang 14,682.9 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2014-perodua-myvi-ezi-1.3/clux400,Perodua
2019,jazz e i-vtec 1.5,60400.0,654.0,99506.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",daily drive,https://www.carsome.my/buy-car/honda/jazz/2019-honda-jazz-e-i-vtec-1.5/cyez400,Honda
2019,x70 tgdi executive 1.8,52900.0,557.0,87584.0,A,"carsome showroom temerloh, pahang 14,682.9 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x70/2019-proton-x70-tgdi-executive-1.8/cxoz400,Proton
2018,myvi av 1.5,42600.0,511.0,117093.0,A,"carsome pj automall, selangor 14,748.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cdfz400,Perodua
2020,saga premium 1.3,31300.0,343.0,79353.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/c9ez400,Proton
2024,ativa h 1.0,63000.0,690.0,20678.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",compact suv,https://www.carsome.my/buy-car/perodua/ativa/2024-perodua-ativa-h-1.0/cxj2500,Perodua
2023,ativa h 1.0,60000.0,658.0,30453.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",compact suv,https://www.carsome.my/buy-car/perodua/ativa/2023-perodua-ativa-h-1.0/cac2500,Perodua
2021,ativa av 1.0,58800.0,644.0,68241.0,A,"carsome showroom chan sow lin, kuala lumpur 14,744.2 km
          away",compact suv,https://www.carsome.my/buy-car/perodua/ativa/2021-perodua-ativa-av-1.0/cq73500,Perodua
2016,myvi se 1.5,33000.0,432.0,123453.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2016-perodua-myvi-se-1.5/cce0500,Perodua
2020,iriz premium 1.6,32400.0,355.0,58869.0,A,"carsome showroom kota bharu, kelantan 14,408.9 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/iriz/2020-proton-iriz-premium-1.6/c9hv400,Proton
2018,saga standard 1.3,24800.0,298.0,104964.0,A,"carsome showroom setiawangsa, kuala lumpur 14,736.0 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2018-proton-saga-standard-1.3/cuxx400,Proton
2020,saga standard 1.3,28800.0,305.0,80961.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-standard-1.3/ce2y400,Proton
2016,serena s-hybrid high-way star impul 2.0,52400.0,712.0,154717.0,A,"carsome showroom temerloh, pahang 14,682.9 km
          away",family drive,https://www.carsome.my/buy-car/nissan/serena/2016-nissan-serena-s-hybrid-high-way-star-impul-2.0/cbas400,Nissan
2014,jazz i-vtec 1.5,36800.0,500.0,136232.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",daily drive,https://www.carsome.my/buy-car/honda/jazz/2014-honda-jazz-i-vtec-1.5/cmxu400,Honda
2020,myvi av 1.5,46600.0,502.0,55386.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/csfy400,Perodua
2020,myvi av 1.5,46600.0,502.0,86772.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cf33500,Perodua
2018,axia g 1.0,28400.0,336.0,82041.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/c310500,Perodua
2017,axia g 1.0,27000.0,360.0,137421.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/cejz400,Perodua
2021,axia advance 1.0,36900.0,404.0,57313.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2021-perodua-axia-advance-1.0/cepx400,Perodua
2018,tiguan 280 tsi comfortline 1.4,67400.0,809.0,99967.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",compact suv,https://www.carsome.my/buy-car/volkswagen/tiguan/2018-volkswagen-tiguan-280-tsi-comfortline-1.4/cmqs400,Volkswagen
2017,city e i-vtec 1.5,47400.0,632.0,112103.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",daily drive,https://www.carsome.my/buy-car/honda/city/2017-honda-city-e-i-vtec-1.5/cohy400,Honda
2018,vios e 1.5,52900.0,635.0,96309.0,A,"carsome showroom setia spice, pulau pinang 14,555.5 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2018-toyota-vios-e-1.5/c5fx400,Toyota
2022,ativa h 1.0,57900.0,634.0,35815.0,A,"carsome showroom kota bharu, kelantan 14,408.9 km
          away",compact suv,https://www.carsome.my/buy-car/perodua/ativa/2022-perodua-ativa-h-1.0/cd21500,Perodua
2019,city s i-vtec 1.5,51000.0,546.0,94552.0,A,"carsome pj automall, selangor 14,748.1 km
          away",daily drive,https://www.carsome.my/buy-car/honda/city/2019-honda-city-s-i-vtec-1.5/cnv2500,Honda
2022,hr-v v 1.5,106500.0,1162.0,23289.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2022-honda-hr-v-v-1.5/chx2500,Honda
2017,hr-v i-vtec v 1.8,56000.0,747.0,135587.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2017-honda-hr-v-i-vtec-v-1.8/c2jy400,Honda
2015,jazz s 1.5,39000.0,530.0,136350.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",daily drive,https://www.carsome.my/buy-car/honda/jazz/2015-honda-jazz-s-1.5/comy400,Honda
2015,alza advance 1.5,36000.0,489.0,149703.0,A,"carsome showroom kota bharu, kelantan 14,408.9 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2015-perodua-alza-advance-1.5/cs2z400,Perodua
2022,city v i-vtec 1.5,72900.0,799.0,38540.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",daily drive,https://www.carsome.my/buy-car/honda/city/2022-honda-city-v-i-vtec-1.5/cu51500,Honda
2022,alza advance 1.5,69900.0,766.0,58768.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2022-perodua-alza-advance-1.5/c930500,Perodua
2020,saga premium 1.3,31300.0,343.0,50000.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/c3bz400,Proton
2018,civic s i-vtec 1.8,71500.0,845.0,114965.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-s-i-vtec-1.8/c76z400,Honda
2020,myvi av 1.5,46600.0,502.0,84327.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/c09z400,Perodua
2021,myvi g 1.3,41900.0,459.0,65469.0,A,"carsome showroom kuching, sarawak 14,543.4 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-g-1.3/chs0500,Perodua
2022,x50 tgdi flagship 1.5,72000.0,789.0,59140.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-tgdi-flagship-1.5/c9d1500,Proton
2017,vios trd sportivo 1.5,54800.0,720.0,133569.0,A,"carsome pj automall, selangor 14,748.1 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2017-toyota-vios-trd-sportivo-1.5/chfy400,Toyota
2024,iriz executive 1.6,43000.0,471.0,17619.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/iriz/2024-proton-iriz-executive-1.6/ckgy400,Proton
2022,vios e 1.5,66900.0,733.0,55720.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2022-toyota-vios-e-1.5/cwm1500,Toyota
2016,axia se 1.0,25900.0,352.0,37683.0,A,"carsome pj automall, selangor 14,748.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2016-perodua-axia-se-1.0/cwzy400,Perodua
2022,alza av 1.5,72400.0,793.0,23693.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2022-perodua-alza-av-1.5/c0f2500,Perodua
2019,vios g 1.5,59900.0,656.0,99587.0,A,"carsome showroom juru autocity, pulau pinang 14,549.9 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2019-toyota-vios-g-1.5/cddz400,Toyota
2013,vios g 1.5,33900.0,496.0,176885.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/vios/2013-toyota-vios-g-1.5/cywy400,Toyota
2018,bezza x premium 1.3,33900.0,407.0,92184.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/ctwx400,Perodua
2020,yaris g 1.5,59000.0,647.0,101029.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/yaris/2020-toyota-yaris-g-1.5/cd6t400,Toyota
2019,hr-v i-vtec v 1.8,70000.0,752.0,99880.0,A,"carsome showroom kota bharu, kelantan 14,408.9 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2019-honda-hr-v-i-vtec-v-1.8/chay400,Honda
2015,myvi advance 1.5,33000.0,448.0,134216.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-advance-1.5/cary400,Perodua
2019,cx-5 skyactiv-g gls 2.0,86000.0,942.0,115380.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",compact suv,https://www.carsome.my/buy-car/mazda/cx-5/2019-mazda-cx-5-skyactiv-g-gls-2.0/cmz2500,Mazda
2023,city rs i-vtec 1.5,82500.0,904.0,31810.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",daily drive,https://www.carsome.my/buy-car/honda/city/2023-honda-city-rs-i-vtec-1.5/cqk1500,Honda
2021,d-max premium dual cab 1.9,94000.0,1030.0,79684.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",adventure,https://www.carsome.my/buy-car/isuzu/d-max/2021-isuzu-d-max-premium-dual-cab-1.9/cvs3500,Isuzu
2022,city v i-vtec 1.5,72900.0,799.0,24306.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",daily drive,https://www.carsome.my/buy-car/honda/city/2022-honda-city-v-i-vtec-1.5/cl21500,Honda
2017,myvi g 1.3,32800.0,432.0,66723.0,A,"carsome pj automall, selangor 14,748.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2017-perodua-myvi-g-1.3/cuyz400,Perodua
2021,serena s-hybrid high-way star two-tone color 2.0,95000.0,1041.0,30863.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",family drive,https://www.carsome.my/buy-car/nissan/serena/2021-nissan-serena-s-hybrid-high-way-star-two-tone-color-2.0/c562500,Nissan
2016,hr-v i-vtec e 1.8,45400.0,617.0,130658.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2016-honda-hr-v-i-vtec-e-1.8/c6lz400,Honda
2020,hr-v i-vtec v 1.8,76400.0,798.0,76491.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2020-honda-hr-v-i-vtec-v-1.8/coiz400,Honda
2018,myvi av 1.5,42600.0,511.0,111338.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cgp0500,Perodua
2018,civic tc vtec 1.5,79600.0,955.0,123200.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",upgrade daily drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-tc-vtec-1.5/clex400,Honda
2018,myvi av 1.5,42600.0,511.0,112024.0,A,"carsome showroom sitiawan, perak 14,662.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cpdw400,Perodua
2018,cr-v tc vtec 1.5,84000.0,996.0,115152.0,A,"carsome showroom temerloh, pahang 14,682.9 km
          away",compact suv,https://www.carsome.my/buy-car/honda/cr-v/2018-honda-cr-v-tc-vtec-1.5/cw8z400,Honda
2018,myvi av 1.5,43400.0,511.0,68892.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/c360500,Perodua
2022,corolla cross hybrid 1.8,101900.0,1090.0,46790.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",compact suv,https://www.carsome.my/buy-car/toyota/corolla-cross/2022-toyota-corolla-cross-hybrid-1.8/cyb1500,Toyota
2020,yaris e 1.5,58900.0,633.0,101224.0,A,"carsome showroom sitiawan, perak 14,662.1 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/yaris/2020-toyota-yaris-e-1.5/c5nt400,Toyota
2022,tiguan allspace life 1.4,99000.0,1085.0,39583.0,A,"carsome showroom melaka, melaka 14,822.0 km
          away",compact suv,https://www.carsome.my/buy-car/volkswagen/tiguan/2022-volkswagen-tiguan-allspace-life-1.4/cja0500,Volkswagen
2018,bezza x premium 1.3,33000.0,396.0,126135.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cjsy400,Perodua
2015,axia g 1.0,21600.0,293.0,173919.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2015-perodua-axia-g-1.0/cmyy400,Perodua
2019,myvi av 1.5,44400.0,480.0,77864.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/cg30500,Perodua
2017,alza ez 1.5,37400.0,499.0,152648.0,A,"carsome showroom temerloh, pahang 14,682.9 km
          away",family drive,https://www.carsome.my/buy-car/perodua/alza/2017-perodua-alza-ez-1.5/csyy400,Perodua
2020,myvi g 1.3,38900.0,404.0,76685.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-g-1.3/cba0500,Perodua
2020,myvi av 1.5,46600.0,502.0,90858.0,A,"carsome pj automall, selangor 14,748.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cf4z400,Perodua
2018,myvi av 1.5,43400.0,511.0,96644.0,A,"carsome showroom sitiawan, perak 14,662.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cvzy400,Perodua
2015,iriz premium 1.6,20400.0,277.0,123977.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",national daily drive,https://www.carsome.my/buy-car/proton/iriz/2015-proton-iriz-premium-1.6/cjvy400,Proton
2017,hr-v i-vtec e 1.8,51900.0,692.0,78935.0,A,"carsome showroom kempas, johor 14,839.0 km
          away",compact suv,https://www.carsome.my/buy-car/honda/hr-v/2017-honda-hr-v-i-vtec-e-1.8/c451500,Honda
2016,myvi se 1.5,33000.0,432.0,129961.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2016-perodua-myvi-se-1.5/cdyw400,Perodua
2022,corolla cross v 1.8,99800.0,1085.0,25086.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",compact suv,https://www.carsome.my/buy-car/toyota/corolla-cross/2022-toyota-corolla-cross-v-1.8/cygz400,Toyota
2015,myvi se 1.5,29900.0,406.0,130456.0,A,"carsome showroom cheras, selangor 14,747.6 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/myvi/2015-perodua-myvi-se-1.5/ceoy400,Perodua
2020,x70 tgdi premium 1.8,65000.0,667.0,91386.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x70/2020-proton-x70-tgdi-premium-1.8/csh1500,Proton
2023,x50 executive 1.5,68500.0,751.0,36882.0,A,"carsome showroom aeon big kepong, kuala lumpur 14,735.7 km
          away",compact suv,https://www.carsome.my/buy-car/proton/x50/2023-proton-x50-executive-1.5/cmuz400,Proton
2021,yaris g 1.5,65800.0,721.0,44900.0,A,"carsome showroom seremban oakland, negeri sembilan 14,780.1 km
          away",daily drive,https://www.carsome.my/buy-car/toyota/yaris/2021-toyota-yaris-g-1.5/cmny400,Toyota
2017,axia g 1.0,27900.0,365.0,71308.0,A,"carsome showroom johor jaya, johor 14,832.8 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/cpmz400,Perodua
2018,bezza x premium 1.3,33000.0,396.0,132687.0,A,"carsome showroom ipoh, perak 14,609.1 km
          away",national daily drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cx2z400,Perodua
2018,city v i-vtec 1.5,54000.0,637.0,121104.0,A,"carsome showroom kuantan avenue, pahang 14,612.7 km
          away",daily drive,https://www.carsome.my/buy-car/honda/city/2018-honda-city-v-i-vtec-1.5/crlx400,Honda
