Year,Model,Total_Price,Price_per_month,Mileage,Transmission,Location,Highlight,URL
2020,Perodua AXIA GXtra 1.0,"RM
          34,400",RM 377,"68,364 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/cmgz300
2021,Perodua Myvi AV 1.5,"RM
          51,900",RM 569,"46,577 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2021-perodua-myvi-av-1.5/c3e2400
2020,Perodua AXIA GXtra 1.0,"RM
          34,400",RM 377,"75,649 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/cvl2400
2017,Perodua AXIA G 1.0,"RM
          29,400",RM 392,"137,219 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2017-perodua-axia-g-1.0/c3n1400
2018,Perodua Bezza X Premium 1.3,"RM
          34,400",RM 413,"130,864 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/cx82400
2022,Honda HR-V E 1.5,"RM
          99,800",RM 962,"52,776 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2022-honda-hr-v-e-1.5/c6g1400
2019,Perodua Myvi AV 1.5,"RM
          46,000",RM 504,"113,095 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/c4c5400
2018,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          77,500",RM 828,"132,157 km",Automatic,"CARSOME Showroom Kempas, Johor 10,512.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gls-2.0/c536400
2020,Mazda CX-8 SKYACTIV-G High 2.5,"RM
          118,800","RM 1,170","89,325 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Family Drive,https://www.carsome.my/buy-car/mazda/cx-8/2020-mazda-cx-8-skyactiv-g-high-2.5/c5f8400
2022,Daihatsu Gran Max Panel 1.5,"RM
          63,700",RM 536,"43,828 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",Commercial,https://www.carsome.my/buy-car/daihatsu/gran-max/2022-daihatsu-gran-max-panel-1.5/cgea400
2020,Perodua AXIA GXtra 1.0,"RM
          34,400",RM 377,"81,090 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/c5b9400
2019,Perodua Myvi AV 1.5,"RM
          46,000",RM 504,"99,776 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2019-perodua-myvi-av-1.5/c1ra400
2020,Perodua Myvi AV 1.5,"RM
          49,400",RM 541,"61,056 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/cmmb400
2019,Mazda CX-5 SKYACTIV-G GLS 2.0,"RM
          82,600",RM 855,"118,213 km",Automatic,"CARSOME Showroom Kempas, Johor 14,839.0 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2019-mazda-cx-5-skyactiv-g-gls-2.0/coea400
2018,Perodua Myvi AV 1.5,"RM
          45,400",RM 545,"127,618 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/cf5d400
2020,Perodua Myvi AV 1.5,"RM
          48,800",RM 535,"93,318 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2020-perodua-myvi-av-1.5/c93d400
2018,Perodua Myvi AV 1.5,"RM
          45,900",RM 551,"68,758 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/ct2d400
2018,Perodua Myvi AV 1.5,"RM
          45,400",RM 545,"102,171 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-av-1.5/c5ce400
2018,Mitsubishi Outlander 2.0,"RM
          66,900",RM 682,"112,134 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Family Drive,https://www.carsome.my/buy-car/mitsubishi/outlander/2018-mitsubishi-outlander--2.0/cckx300
2021,Perodua Alza Ez 1.5,"RM
          52,400",RM 574,"100,910 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2021-perodua-alza-ez-1.5/ca2g400
2018,Mazda CX-5 SKYACTIV-G GL 2.0,"RM
          76,800",RM 816,"105,625 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-5/2018-mazda-cx-5-skyactiv-g-gl-2.0/cc0e400
2022,Honda HR-V V 1.5,"RM
          95,400",RM 973,"45,041 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2022-honda-hr-v-v-1.5/cf0h400
2023,Mazda CX-30 SKYACTIV-G High 2.0,"RM
          115,900","RM 1,156","36,318 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Compact SUV,https://www.carsome.my/buy-car/mazda/cx-30/2023-mazda-cx-30-skyactiv-g-high-2.0/csug400
2016,Perodua AXIA G 1.0,"RM
          24,000",RM 283,"136,356 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2016-perodua-axia-g-1.0/crwg400
2025,Nissan Serena S-Hybrid High-Way Star 2.0,"RM
          119,800","RM 1,238",112 km,Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/serena/2025-nissan-serena-s-hybrid-high-way-star-2.0/c80k400
2016,Perodua Myvi G 1.3,"RM
          28,900",RM 338,"136,139 km",Automatic,"CARSOME Showroom Chan Sow Lin, Kuala Lumpur 14,744.2 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2016-perodua-myvi-g-1.3/cr4i400
2020,Proton Saga Premium 1.3,"RM
          31,800",RM 312,"70,952 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/cvfh400
2022,Perodua AXIA Advance 1.0,"RM
          40,400",RM 414,"34,623 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2022-perodua-axia-advance-1.0/crah400
2023,Perodua Myvi AV 1.5,"RM
          52,100",RM 523,"35,407 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2023-perodua-myvi-av-1.5/c19j400
2012,Perodua Alza EZi 1.5,"RM
          18,800",RM 722,"114,049 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 13,814.5 km
          away",Family Drive,https://www.carsome.my/buy-car/perodua/alza/2012-perodua-alza-ezi-1.5/cy1i400
2017,Perodua Bezza Advance Premium 1.3,"RM
          33,000",RM 398,"138,265 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2017-perodua-bezza-advance-premium-1.3/ca5h400
2022,Proton X50 TGDI Flagship 1.5,"RM
          72,800",RM 778,"47,572 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Compact SUV,https://www.carsome.my/buy-car/proton/x50/2022-proton-x50-tgdi-flagship-1.5/cuji400
2025,Honda City RS i-VTEC 1.5,"RM
          83,000",RM 910,"7,726 km",Automatic,"CARSOME Showroom Setia SPICE, Pulau Pinang 14,555.5 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2025-honda-city-rs-i-vtec-1.5/cnzk400
2016,Toyota Vios G 1.5,"RM
          48,800",RM 592,"95,236 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2016-toyota-vios-g-1.5/cnjj400
2019,Perodua AXIA GXtra 1.0,"RM
          27,000",RM 284,"110,439 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-gxtra-1.0/c0di400
2018,Honda Civic TC VTEC 1.5,"RM
          80,400",RM 911,"74,235 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-tc-vtec-1.5/c11h400
2018,Perodua Bezza X Premium 1.3,"RM
          33,400",RM 382,"104,021 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/ccxj400
2021,Perodua AXIA GXtra 1.0,"RM
          33,000",RM 327,"72,339 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2021-perodua-axia-gxtra-1.0/cnjk400
2018,Honda Civic S i-VTEC 1.8,"RM
          71,900",RM 802,"110,853 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",Upgrade Daily Drive,https://www.carsome.my/buy-car/honda/civic/2018-honda-civic-s-i-vtec-1.8/c86i400
2022,Honda HR-V E 1.5,"RM
          104,800","RM 1,070","57,370 km",Automatic,"CARSOME Showroom Alor Setar, Kedah 14,468.6 km
          away",Compact SUV,https://www.carsome.my/buy-car/honda/hr-v/2022-honda-hr-v-e-1.5/cinl400
2018,Honda Accord i-VTEC VTi-L 2.0,"RM
          73,000",RM 802,"133,390 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Executive,https://www.carsome.my/buy-car/honda/accord/2018-honda-accord-i-vtec-vti-l-2.0/c3aj400
2018,Toyota Vios E 1.5,"RM
          52,400",RM 552,"125,481 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2018-toyota-vios-e-1.5/chkj400
2018,Perodua Bezza X Premium 1.3,"RM
          34,400",RM 413,"105,738 km",Automatic,"CARSOME Showroom Kota Kinabalu, Sabah 10,512.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2018-perodua-bezza-x-premium-1.3/czfk400
2018,Perodua AXIA G 1.0,"RM
          28,000",RM 316,"108,025 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/c9ej400
2020,Perodua AXIA GXtra 1.0,"RM
          32,400",RM 342,"90,029 km",Automatic,"CARSOME Showroom Juru Autocity, Pulau Pinang 14,549.9 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2020-perodua-axia-gxtra-1.0/cwbl400
2017,Honda BR-V V i-VTEC 1.5,"RM
          45,000",RM 544,"137,754 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Family Drive,https://www.carsome.my/buy-car/honda/br-v/2017-honda-br-v-v-i-vtec-1.5/c6gk400
2020,Proton Saga Premium 1.3,"RM
          30,800",RM 290,"49,019 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",National Daily Drive,https://www.carsome.my/buy-car/proton/saga/2020-proton-saga-premium-1.3/cg3m400
2019,Perodua AXIA G 1.0,"RM
          29,400",RM 294,"108,661 km",Automatic,"CARSOME Showroom Kuala Terengganu, Terengganu 14,461.7 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2019-perodua-axia-g-1.0/c7jm400
2018,Perodua Myvi H 1.5,"RM
          40,900",RM 443,"90,895 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/myvi/2018-perodua-myvi-h-1.5/cthl400
2022,BMW X3 xDrive30i M Sport 2.0,"RM
          216,000","RM 2,279","52,162 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/bmw/x3/2022-bmw-x3-xdrive30i-m-sport-2.0/cqsl400
2018,Perodua AXIA G 1.0,"RM
          28,400",RM 322,"68,118 km",Automatic,"CARSOME Showroom Melaka, Melaka 14,822.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/axia/2018-perodua-axia-g-1.0/cxjl400
2019,Mercedes-Benz A250 AMG Line 2.0,"RM
          153,800","RM 1,576","65,507 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Luxury,https://www.carsome.my/buy-car/mercedes-benz/a250/2019-mercedes-benz-a250-amg-line-2.0/c1rl400
2022,Perodua Ativa AV 1.0,"RM
          62,100",RM 622,"50,865 km",Automatic,"CARSOME Showroom Kuantan Avenue, Pahang 14,612.7 km
          away",Compact SUV,https://www.carsome.my/buy-car/perodua/ativa/2022-perodua-ativa-av-1.0/cgxl400
2023,Honda City V i-VTEC 1.5,"RM
          77,400",RM 809,"28,814 km",Automatic,"CARSOME Showroom Kuching, Sarawak 14,543.4 km
          away",Daily Drive,https://www.carsome.my/buy-car/honda/city/2023-honda-city-v-i-vtec-1.5/catm400
2020,Perodua Bezza G 1.0,"RM
          32,500",RM 356,"90,270 km",Automatic,"CARSOME Showroom Setiawangsa, Kuala Lumpur 14,736.0 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2020-perodua-bezza-g-1.0/cb2m400
2018,Toyota Vios G 1.5,"RM
          52,400",RM 598,"100,907 km",Automatic,"CARSOME Showroom Seremban Oakland, Negeri Sembilan 14,780.1 km
          away",Daily Drive,https://www.carsome.my/buy-car/toyota/vios/2018-toyota-vios-g-1.5/codm400
2016,Honda Accord i-VTEC VTi-L 2.0,"RM
          59,800",RM 676,"131,511 km",Automatic,"CARSOME PJ Automall, Selangor 14,748.1 km
          away",Executive,https://www.carsome.my/buy-car/honda/accord/2016-honda-accord-i-vtec-vti-l-2.0/cs7m400
2019,Nissan Serena S-Hybrid High-Way Star 2.0,"RM
          81,800",RM 842,"101,015 km",Automatic,"CARSOME Showroom Ipoh, Perak 14,609.1 km
          away",Family Drive,https://www.carsome.my/buy-car/nissan/serena/2019-nissan-serena-s-hybrid-high-way-star-2.0/cixm400
2020,Perodua Bezza X 1.3,"RM
          39,800",RM 436,"70,214 km",Automatic,"CARSOME Showroom Sitiawan, Perak 14,662.1 km
          away",National Daily Drive,https://www.carsome.my/buy-car/perodua/bezza/2020-perodua-bezza-x-1.3/cvxm400
